# app-ads.txt for gzcangshu.com
# This file lists authorised digital advertising sellers for our mobile applications.
# Format: <domain>, <publisher ID>, <relationship>, <cert authority ID>
# Standards: https://iabtechlab.com/standards/app-ads-txt/
# Last updated: 2026-01-15
# Contact: contact@gzcangshu.com
#
# DIRECT ENTRIES (we work with these ad networks directly)
#
# Google AdMob
google.com, pub-0000000000000000, DIRECT, f08c47fec0942fa0
#
# Google Ad Manager / AdX
google.com, pub-0000000000000000, DIRECT, f08c47fec0942fa0
#
# Google AdSense
google.com, pub-0000000000000000, DIRECT, f08c47fec0942fa0
#
# Facebook Audience Network (Meta)
facebook.com, 000000000000000, DIRECT, c3b1b9b4e5f04b8a
#
# Unity Ads / LevelPlay
unity.com, 0000000, DIRECT, 96d7a7b6e9c041db
#
# AppLovin MAX
applovin.com, 000000000000000000, DIRECT, a7d3a8f9b1c24e5f
#
# ironSource
ironsrc.com, 000000000000000, DIRECT, 5d2b6c8e9f1a3b4c
#
# Vungle (Liftoff)
vungle.com, 000000000000000, DIRECT, 6c3d4e8f9a1b2c5d
#
# Chartboost
chartboost.com, 000000000000000, DIRECT, 7d4e5f8a9b1c2d3e
#
# AdColony (Digital Turbine)
adcolony.com, 000000000000000, DIRECT, 8e5f6a7b8c9d1e2f
#
# InMobi
inmobi.com, 000000000000000, DIRECT, 9f6a7b8c9d1e2f3a
#
# Tapjoy
tapjoy.com, 000000000000000, DIRECT, a7b8c9d1e2f3a4b5
#
# Pangle (ByteDance)
pangleglobal.com, 000000000000000, DIRECT, b8c9d1e2f3a4b5c6
#
# Amazon Publisher Services
amazon.com, 0000000, DIRECT, c9d1e2f3a4b5c6d7
#
# Yahoo / Verizon Media
yahoo.com, 000000000000000, DIRECT, d1e2f3a4b5c6d7e8
#
# Smaato
smaato.com, 000000000000000, DIRECT, e2f3a4b5c6d7e8f9
#
# MobFox (Verve)
verve.com, 000000000000000, DIRECT, f3a4b5c6d7e8f9a0
#
# StartApp
startapp.com, 000000000000000, DIRECT, a4b5c6d7e8f9a0b1
#
# Ogury
ogury.com, 000000000000000, DIRECT, b5c6d7e8f9a0b1c2
#
# BidMachine
bidmachine.io, 000000000000000, DIRECT, c6d7e8f9a0b1c2d3
#
# Digital Turbine
digitalturbine.com, 000000000000000, DIRECT, d7e8f9a0b1c2d3e4
#
# HyprMX
hyprmx.com, 000000000000000, DIRECT, e8f9a0b1c2d3e4f5
#
# Loopme
loopme.com, 000000000000000, DIRECT, f9a0b1c2d3e4f5a6
#
# Yandex Ads
yandex.com, 00000000, DIRECT, a0b1c2d3e4f5a6b7
#
# Criteo
criteo.com, 0000000, DIRECT, b1c2d3e4f5a6b7c8
#
# Mintegral
mintegral.com, 000000000000000, DIRECT, c2d3e4f5a6b7c8d9
#
# MyTarget (VK)
mytarget.com, 000000000000000, DIRECT, d3e4f5a6b7c8d9e0
#
# RESELLER ENTRIES (we authorise these authorised resellers)
#
google.com, pub-0000000000000000, RESELLER, f08c47fec0942fa0
facebook.com, 000000000000000, RESELLER, c3b1b9b4e5f04b8a
applovin.com, 000000000000000000, RESELLER, a7d3a8f9b1c24e5f
unity.com, 0000000, RESELLER, 96d7a7b6e9c041db
inmobi.com, 000000000000000, RESELLER, 9f6a7b8c9d1e2f3a
vungle.com, 000000000000000, RESELLER, 6c3d4e8f9a1b2c5d
amazon.com, 0000000, RESELLER, c9d1e2f3a4b5c6d7
yahoo.com, 000000000000000, RESELLER, d1e2f3a4b5c6d7e8
smaato.com, 000000000000000, RESELLER, e2f3a4b5c6d7e8f9
loopme.com, 000000000000000, RESELLER, f9a0b1c2d3e4f5a6
adcolony.com, 000000000000000, RESELLER, 8e5f6a7b8c9d1e2f
chartboost.com, 000000000000000, RESELLER, 7d4e5f8a9b1c2d3e
tapjoy.com, 000000000000000, RESELLER, a7b8c9d1e2f3a4b5
ironsrc.com, 000000000000000, RESELLER, 5d2b6c8e9f1a3b4c
pangleglobal.com, 000000000000000, RESELLER, b8c9d1e2f3a4b5c6
verve.com, 000000000000000, RESELLER, f3a4b5c6d7e8f9a0
startapp.com, 000000000000000, RESELLER, a4b5c6d7e8f9a0b1
ogury.com, 000000000000000, RESELLER, b5c6d7e8f9a0b1c2
bidmachine.io, 000000000000000, RESELLER, c6d7e8f9a0b1c2d3
digitalturbine.com, 000000000000000, RESELLER, d7e8f9a0b1c2d3e4
hyprmx.com, 000000000000000, RESELLER, e8f9a0b1c2d3e4f5
yandex.com, 00000000, RESELLER, a0b1c2d3e4f5a6b7
criteo.com, 0000000, RESELLER, b1c2d3e4f5a6b7c8
mintegral.com, 000000000000000, RESELLER, c2d3e4f5a6b7c8d9
mytarget.com, 000000000000000, RESELLER, d3e4f5a6b7c8d9e0
#
# End of file
